,Division,Subdivision,E-Record,Folder,Author(s),Title,Abstract,Year
10,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2020-0004,"Garcia, Sussan"," Kafala and Binding are Synonyms: A Consequence of Capitalist Class Formation in Ethnic
                                 Regimes in the United Arab Emirates and Israel","This capstone questions the lack of nuance present in the critiques aimed at the kafala
 system I observed as a student in Abu Dhabi, which was highlighted during my time
 in Israel, which has a remarkably similar binding system. Unsatisfied by reports that
 dismissed the kafala as a product of unique Gulf historical or cultural factors, I
 conducted a comparative historical study of Israel and the United Arab Emirates to
 determine what forces led to the creation of these privatized visa sponsorship systems.
 I conclude that universal forces behind capitalist class formation in these ethnic
 regimes led to the creation of their contemporary labor migration regimes; this is
 further reinforced by their different scales of labor migration population, which
 speaks to the longevity of their respective labor migration regime. This capstone
 compiles labor migration histories of Israel and the United Arab Emirates, and establishes
 one of the few robust comparisons of these two countries.",2020
11,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2020-0005,"Duborg, Christian"," Ideologies of Persuasion: an Examination of the Political Rhetoric of Gamal Abdel
                                 Nasser in Egyptian and International Media, 1958-1965","The goal of this capstone is to use a case study of Nasser's Egypt to examine how
 governments use the media for political persuasion. Using speeches broadcast over
 Radio Cairo and interviews given to foreign media outlets by President Nasser himself,
 the study examines the language, subject matter, and rhetorical strategies employed
 to persuade the audience to support him and his government. Additionally, the study
 provides an analysis of historical context, popular discourse, and intended audience
 to provide a better understanding of the strategic persuasive choices made by the
 government, as well as an analysis of the nature and the role of ideology in Nasser's
 appeals. Finally this dissertation uses this evidence to provide a characterization
 of Nasser himself as a politician, orator, and key figure in the development of political
 mass media in the Middle East.",2020
12,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2021-0002,"Pruett, Everett"," One for One and All for Themselves: The Role of Individual Emirates' Considerations
                                 in the Formulation of Emirati Foreign Policy","Analysts and scholars have frequently framed Emirati foreign policy formation as a
 highly centralized story, where political interests and sub-national considerations
 play little or no significant role. This narrative has traditionally depicted Emirati
 foreign policy formation as being the sole creation of the capital and wealthiest
 emirate, unimpeded by the considerations of the other six emirates. This capstone
 seeks to problematize this narrative as overly simplistic and incomplete. Through
 investigation into the history and current dynamics surrounding UAE foreign policy
 formation, this capstone highlights the numerous considerations that affect Emirati
 foreign policy. It does this by examining three cases: Emirati policy towards Islamism,
 towards Iran, and Emirati foreign economic policy. Under Sheikh Zayed al-Nahyan, each
 emirate had limited freedom to formulate foreign policy concerning other states. Since
 Sheikh Zayed's passing, his son and the de-facto leader of the UAE, Sheikh Mohamed
 bin Zayed al-Nahyan, has worked to centralize the federal government under himself.
 Understanding Emirati foreign policy as more than just driven by Abu Dhabi is important
 for any policymaker or academic whose work relates to the UAE.",2021
13,"Arts & Humanities Division Projects, 2014-2022",Arab Crossroads Studies,E-records: AD-MC-004,Folder : 2021-0001,"Ryu, Iris Seunga"," Bridging the Gap between Expectation and Reality: Urban Planning and the Public Bus
                                 System in Abu Dhabi","This paper analyzes Abu Dhabi government's initial goals of establishing the public
 bus system, the efficiency of the currently implemented bus system, and real users'
 experiences and social meanings of public transport in Abu Dhabi. While Abu Dhabi
 Department of Transport (DoT) constructed the urban transportation system to facilitate
 economic activities and comply to the idealized version of modernity, the public buses
 are evaluated to be inefficient and reinforce social stratification, further creating
 social isolation and sense of unbelonging. Moreover, the government's implementation
 of the transport system seems inefficient and people find strategic ways to navigate
 the city that challenge or even subvert the intentions of the DoT. Therefore, this
 paper argues that state-led urban planning and goals often differ from the actual
 implementation and utilization by residents, a gap commonly found in processes and
 outcomes of urban planning and transport infrastructure on a global level.",2021
14,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2014-0010,"Baltaji, Bouthayna Mohammad Issa", Bina'a Al Bee'ah Al Mahalee'yah Al Fen'nee'yah (The Building of the Local Art Community),"My capstone project seeks to address the issue of introducing the museum experience
 to a generation of children and parents who are relatively new to the museum culture.
 Abu Dhabi's biggest legacy in the realm of the arts may be the introduction of innovative
 museums like the Louvre Abu Dhabi (2015), the Norman Foster designed Zayed National
 Museum (2016), and the Guggenheim Abu Dhabi (2017). However, prior to their public
 openings a need exists to expose the general community to ""museum culture."" To address
 that process, I have completed working on an arts education initiative that focused
 on building a museum going society. I have worked in collaboration with the Abu Dhabi
 Tourism and Cultural Authority and Abu Dhabi Education Council on this project and
 I have developed and conducted workshops with private and international schools in
 the emirate for 150 students. The works produced during these workshops were exhibited
 from May 4th, 2014 until May 25th, 2014 at the Manarat Al Saadiyat.",2014
15,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2014-0013,"Flores, Cassandra Elizabeth"," The Not-So-New Kid: The Changing Relationship to National Representation in the National
                                 Pavilion of the United Arab Emirates at the Venice Biennale, 2009-2013","This paper explores the brief history of the United Arab Emirates (UAE) at the Venice
 Biennale. It addresses the recent and rapid development of the UAE's cultural infrastructure
 and the history and significance of the Venice Biennale art fair. Due to its continued
 use of national pavilions, the Venice Biennale acts as a space in which art is presented
 within a narrative of national identity and representation. However, in recent years
 many countries have shown pavilions that question or reject the nation-based format.
 In its time at the Venice Biennale the UAE Pavilion has demonstrated a shift away
 from overt and largely promotional national representation, in turn towards a critical
 engagement with the country's history and development, and finally towards an examination
 of nationhood itself. The alignment of this transformation with prevalent Biennale
 trends may imply, particularly within the context of the Venice Biennale, a greater
 appreciation for and emphasis on art on the part of the UAE.",2014
16,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2014-0017,"Hunt, James Baxter IV", D-WR,"D-WR encompasses the globe. Sourced from an international community, the project depicts
 events that punctuate four years of global travels. The events reveal themselves through
 visual translation into several thousand ""reactions"", that is, images, movements,
 and the like painted, drawn, or etched into the canvas in their appropriate geographical
 positions. Pictures taken over the duration of the paintings' creation record each
 instance, frame by frame, into a condensed animation. Both the canvas and the animation,
 shown side by side, serve to answer questions about both the formation and experience
 of cultural memory, by revealing in the absolute terms of geography the indeterminate
 movement of human recollection. They serve, in particular, for the community whose
 movements and inputs inspired and informed the work, to reveal a collection of memories,
 and those memories' power to shape worldviews when shared.",2014
17,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2014-0016,"Meekhof, Erin Katherine", Special Identity,"Special Identity is a project to develop and implement a corporate identity for the
 Ability Center, a local school for students with special needs. By working with the
 students, faculty, and caregivers, I created a narrative, visual identity, and set
 of materials that reflects the Ability Center's particular strengths and offerings
 as a place of enabling community. The brand gives the Ability Center the agency to
 define their own identity and engage supporters, future students, and the community
 of Abu Dhabi. Please visit www.adabilitycenter.org to learn more about the Ability
 Center.",2014
18,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2014-0002,"Pinto Miguel, Alejandra del Carmen", Reencuentros,"Reencuentros is a webpage that displays the lives of three Salvadorian visual artists
 that worked during the Civil War and created an active art scene in El Salvador.",2014
19,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2015-0001,"Al Ali, Amal", Collision,"I was driven to create the sculptural series Collision due to the psychological shift
 I experienced once I began driving. Suddenly I was forced to see and react to every
 stimulus. I became overwhelmed by what was out of my control and what surrounded me.
 In order to regain control, I created objects that attempted to negotiate this fear.
 Collision is a series of aluminum sculptures created through a cathartic performance
 that attempts to reconcile my fear of experiencing road traffic trauma. Collision
 negotiates the opposing forces and the promise of survival beyond trauma.",2015
20,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2015-0022,"Bushra, Sarah Abdu", Topography of a Parallel Universe,"This project is an investigation of in-between areas as places of temporary habitation
 to distinguish the idea of ""being-in"" from the concept of ""insideness"". I have chosen
 the state of madness as a ground for exploring a mental oscillation between counterparts
 within a mirrored space, created by alienating the consciousness from the self, thereby
 individualizing the reflection from the reflected. I attempt to trace and illustrate
 the topography of this mental state from history surrounding the ship of fools, existential
 theories, Literature, and my personal experience through the creation and curation
 of an exhibition.",2015
21,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2015-0006,"Hauser, Grace Michael"," A Feast for the Eyes: Pictorial Conspicuous Consumption in the Cornucopia of Food,
                                 Flora, and Fauna of 17th-century Dutch Still Life","During the 17th century, the artistic genre of Dutch still life can be divided into
 two distinct trends. The first half of the 17th century is characterized by a monochromatic
 trend, using restrained colors and subject matter due to an economic slump and Calvinist
 ideology. During second half of the 17th century, due to trade and Dutch colonialism,
 rare goods and luxurious commodities pour into the Netherlands, and become objects
 of admiration and subjects of the pronkstillleven genre (show-off still life). With
 this surplus of wealth, a consumerist attitude is born instilling an urge to conspicuously
 display one's wealth. I analyze the contrast between the two trends and discuss how
 and why this change took place. Through the analysis of four works of still life,
 comparisons and contrasts will be drawn that mark these opposing artistic trends.",2015
22,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2015-0018,"Karpova, Olga", ДОМА | DOMA,"Home. This words means many things to people around the world. A bed at a parent's
 house, a particular street, or neighbourhood, or even a smell can be associated with
 home. The project Home Feeling investigates what happens with the meaning of home
 in cosmopolitan settings. The writing describes the stages of the project starting
 from the origins and inspirations to the process, challenges that were faced during
 different stages.It is explained how through painting, sculpture and installation, the artist expressed
 the feeling of home, which, in a globalised world, turned into a mixture of connectivity
 to places, people and memories.The paper is concluded by the explanation of how the project turned out to be about
 identification, home, and feelings. It is discussed how the difficulties and challenges
 helped to develop the project, and which conclusions were made from a year-long process
 of its realisation.",2015
23,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2015-0002,"Kurkova, Anna", Vaselisa the Lovely: Russian Fairytales Revisited,"This paper goes through a chronological documentation of my capstone project, Psychogeographica.
 This is a yearlong research project that delves into my personal experience of Abu
 Dhabi, and particularly how this experience involved me feeling alienated by the space
 of the city, but not knowing exactly why this reaction had occurred. I recognize that
 this was because I felt no semblance of time passing – there was no evidence of decomposition
 or aging within the buildings, streets, sense of place and consequently within myself
 as I existed within the city. As such, the paper follows the process that led to my
 collecting found objects and sourced objects in order to create artworks that attempt
 to reveal the existence of time in Abu Dhabi. The reader is implicated in the mental
 processes that I faced whilst involved in this yearlong endeavor. There is also an
 assumption that the reader has encountered the work either in person or through images
 (which will accompany the archive).",2015
24,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2015-0010,"Piripi, Keriana", Psychogeographica,"This paper goes through a chronological documentation of my capstone project, Psychogeographica.
 This is a yearlong research project that delves into my personal experience of Abu
 Dhabi, and particularly how this experience involved me feeling alienated by the space
 of the city, but not knowing exactly why this reaction had occurred. I recognize that
 this was because I felt no semblance of time passing – there was no evidence of decomposition
 or aging within the buildings, streets, sense of place and consequently within myself
 as I existed within the city. As such, the paper follows the process that led to my
 collecting found objects and sourced objects in order to create artworks that attempt
 to reveal the existence of time in Abu Dhabi. The reader is implicated in the mental
 processes that I faced whilst involved in this yearlong endeavor. There is also an
 assumption that the reader has encountered the work either in person or through images
 (which will accompany the archive).",2015
25,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2015-0004,"Smits, Cleo", PROBE: an investigation of contemporary institutional critique,"""Institutional critique"" is a term used to describe art that is reflective about its
 positions in institutions and systems within the art world. Institutional critique
 typically takes the practices that allow art to be exhibited, circulated, exchanged,
 and sold as the subject of the artwork. This kind of artwork encourages the viewer
 to reflect on the idea of ""the institution"" by addressing it both directly and indirectly.
 
 This exhibition explores three contemporary examples of artists engaging in institutional
 critique and considers their artwork in relationship to one another, in an historical
 framework. The exhibition investigates the methods used by artists to identify and
 address different institutions. This exhibition is a curatorial Capstone project.
 As a student project, it lies outside the typical framework of ""the art institution.""
 Still, the university can be understood as a cultural institution. Thus this project
 is, ultimately, an experiment in curating institutional critique from within an institution.",2015
26,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2016-0012,"Kuroda, Mariko",Ramadan Recipes: Ten Ideas For Iftar Meals,"A 68-page full color book featuring illustrations and photographs, Ramadan Recipes
 proposes ten iftar recipes to break the fast for each day of Ramadan. Every recipe
 in the book was passed on to the author through interviews with Muslim families living
 in the UAE. Using Ramadan as a unifying element, the book weaves together stories
 for each dish, including not only its history but also memories associated with the
 meal as shared by the Muslim families. Ramadan Recipes celebrates the cultural diversity
 of Abu Dhabi and explores the heart of the Islamic faith. Most importantly, the book
 seeks to teach readers about the value of food and community, and encourages them
 to cook and gather around the dining table with their friends and families. Through
 recipes and stories, Ramadan Recipes presents food as a giver of life, a gem of family
 tradition, and a place of gathering.",2016
27,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2017-0007,"Arni, Sophie"," Rethinking the East/West Binary: Transcultural Porcelain, 16th-21st Century","How does the binary of East and West affect the history, analysis and display of transcultural
 works of art? More particularly, how does the binary affect the analysis of porcelain,
 a medium that emerged from trade exchange and has been widely appropriated to suit
 various cultural tastes? Through three case studies of transcultural dialogues embedded
 in porcelain, I reveal the shortcomings of polarizing eastern and western influences
 and provide alternative theoretical frameworks for studying cross-cultural exchange.
 The first exchange, a Jingdezhen bottle gilded in London in 1585, will be defined
 through its framing abilities. The second, a Sèvres chinoiserie basin from c.1790,
 will be understood through its mimetic faculty. The third, a Jingdezhen vase commissioned
 by Lebanese artist Raed Yassin in 2012, will be analyzed through its simulation processes.
 I argue that the East/West binary is the product of, rather than the process of, transcultural
 exchanges in global art practices.",2017
28,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2018-0022,"Filova, Evgenija", points of potential,"points of potential is an installation work exploring the state of simultaneously
 knowing and being unable to know in the context of denied spaces. Reinforcing how
 queer spaces subvert hegemony, the installation captures the processes of unbeing
 and unbecoming. Reflecting on current spaces and their elsewheres, a denied space
 is being looked through textual and sound installation(s). By exploring territories
 of occupation, points of potential is asking us to reconsider our own occupations
 and find the potential to open up new spaces.",2018
29,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2018-0034,"Molina, Mateo Juvera", Wings of Resistance,"Wings of Resistance is an Escape the Room-inspired installation piece. It consists
 of two parallel escape rooms, meant to be experienced by two teams of 3-4 people each.
 The teams are led blindfolded to the rooms, where they must find clues and solve puzzles
 in order to find their reward and successfully complete the game. Although each team
 is in their own room and may believe they are the only ones taking part on the experience,
 eventually they unlock a video feed that connects them to the parallel room and the
 second team. Wings of Resistance is not only a test of wit, bit also of trust and
 cooperation. Some puzzles in the rooms require the exchange of information between
 teams, leading to the final reward. Before the final puzzle, the teams are presented
 with Prisoner's Dilemma-like scenario: finish the game alone at the cost of the other
 team, or trust them and cooperate. However, this is also a test, as betrayal leads
 to instant disqualification - the only way to succeed is through cooperation. Successful
 teams are awarded a pin for them to remember the experience.",2018
30,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2018-0019,"Wardi, Souhail", Modern Ghosts,"The Exhibition ""Modern Ghosts"" seeks to explore the absence islamophobia creates,
 an absence that only helps strengthen islamophobic beliefs. Being absent refers to
 the way many Muslims tend to shrink back into themselves out of fear. We shrink into
 ourselves after being bombarded with misconceptions. It is an exhausted gesture, a
 protective stance against the backlash and prejudice that our beliefs and ways of
 life
 continuously face. We hide or become silent. We hide out of fear. We hide out of being
 tired. We hide so as not to stand out. We hide to melt into the midst of society.",2018
31,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2019-0006,"Almehairi, Sarah", Between,"Between is an exhibition of mixed media works exploring the themes of memory and location,
 as well as the playfulness and joy of working with color, form and materiality. Consisting
 of both narrative and abstract work, a dialogue is created between past and present.
 From drawing upon childhood memories in Tennessee to experimenting with systems of
 color, the artist uses textures, gestures, and fragments translating them across different
 materials. It is an exploration of identity of one's self and as an artist, while
 seeking to understand the 'betweenness' amidst it all. Creating connections, playing
 with language and drawing upon the process.",2019
32,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2019-0046,"Althehli, Noor", Wiswas,"Wiswas (وسواس) is an Arabic term that roughly translates to reoccurring thoughts,
 notions, or instinctive drives, that consume a person's subconscious. Wiswas is a
 force that evokes fear, suspicion, and unnecessary anxiety. In this installation,
 I create an environment that both reflects and conjures emotional responses with relation
 to Wiswas. Looming figurative forms inhabit the gallery and abstract expressions explode
 across canvases representing my obsessive paranoias.",2019
33,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2019-0023,"Al Yousefi, Maha", Nafseeya,"My capstone questions, confronts and explores the stigma of mental illness in the
 Middle East and the local region.",2019
34,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2019-0042,"Cho, Don", Unrealized to Levitate,"I hope to build a poetics of floating from the objects that surround a centerpiece,
 one that is incomplete and unrealized. If there is anything I could sway the audience
 with words, the works convey a feeling embedded in failure, a source of nostalgia
 and desolation. But audience is one who sees, and few hear the whispers of disquiet.
 Can someone be blind and alone? A feast of silent gathering, a subliminal space of
 unrealized dreams, and an agora with figures suspended between the sky and earth—these
 are a few modes of expression to what constitute the whole. A multimedia installation,
 the composites yearn for meaning in what is a rubbish heap.",2019
35,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2019-0021,"Corea, Shenuka"," Manthiram, A Graphic Novel","Manthiram is a series of interconnected vignettes of the Mannar pearl fisheries off
 the coast of Sri Lanka. This graphic novel explores humanity's enchantment with the
 sea and its contents, and the charms and rituals with which we attempt to commune
 with it.",2019
36,"Arts & Humanities Division Projects, 2014-2022",Art & Art History,E-records: AD-MC-004,Folder : 2019-0007,"Defranco, Reine", BRAVADO,"The art exhibition Bravado studies a series of the ancient Greek statues and recreates
 them through large-scale charcoal drawings. The pieces deconstruct the ideal of male
 beauty depicted by the original statues--they emulate the graceful figures while also
 degrading and complicating their forms using abstraction techniques and artistic interventions.",2019
